TRAPX	TRAPY
52672	108288
51328	107424
51296	106880
52544	105792
51680	106080
53088	104320
53632	103296
53568	102624
54592	103456
54368	104000
53216	103200
52256	103936
56960	104544
57120	106080
57152	106464
56352	106720
55296	107328
55264	107968
55552	108544
55392	108832
56608	107520
57504	108832
56416	109568
56928	110688
56128	110816
56864	109984
56800	112544
55488	112800
56672	113568
54240	111232
55616	111456
54592	109920
53856	109216
53376	108736
54848	111968
55136	113344
55456	113184
55712	113632
