TRAPX	TRAPY
52448	108896
52224	107264
51712	107168
52608	106592
51872	105664
52704	104192
54112	103680
53024	102528
54592	102976
54976	104032
54624	104064
52992	104896
56576	104928
56544	105824
56928	106848
56992	107296
55456	106688
55904	107712
56064	108224
55808	108864
57216	107904
57152	108352
56160	109216
56544	110496
57504	109344
56384	111488
55712	106016
55744	112224
57056	113280
54496	111744
55456	110720
54848	111168
53760	109856
53184	108992
54336	112256
54848	112800
55040	113728
56544	113856
