TRAPX	TRAPY
52096	108864
53024	107840
51328	106496
51904	107776
52128	105248
52096	106080
53408	104864
52832	103424
54272	102592
55040	103232
54016	104544
53152	103584
55936	105600
57280	104800
56672	106304
57408	107072
55936	106368
55712	107072
55584	107872
55104	109120
56256	108640
56608	106912
56992	108800
56224	109984
57216	110144
56480	110976
57184	109184
56384	112608
55808	113056
56672	112896
54432	110592
55264	111040
54176	110016
53504	109376
54208	111680
55168	112384
56000	113568
55648	114240
54752	110176
