nHardWareId	nNum
2749680748	0
1791245332	0
448233768	0
3717670095	-1
173908153	0
1549026856	0
3014421909	0
2988470340	0
2974946811	1
2978047430	0
2983966554	1
2984512033	0
1207046571	0
1153467234	0
1905904686	0
1912140717	1
1881202091	0
1884689001	0
1892232501	1
2013232496	2
1980994658	0
2005202918	0
2011168894	0
2011504966	0
1986275177	1
1992929383	0
1965739279	1
1978259304	1
1974067022	0
1946598741	0
1956000728	0
1956939509	0
1961732650	1
1962470966	0
2071091641	1
2072675208	1
2079822877	0
2049116050	1
1934481814	2
1933191441	1
1919492613	0
